2018-12-12 17:41:58.966 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-12 17:41:59.017 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:187] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@76908cc0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2473d930, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35047d03, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49b0b76, org.springframework.test.context.transaction.TransactionalTestExecutionListener@769f71a9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c9f8c13, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5ae50ce6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f96c77, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@be64738, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3ba9ad43, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@49d904ec, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@48e4374]
2018-12-12 17:41:59.024 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.jeelearn.house.HouseApplicationTests], using SpringBootContextLoader
2018-12-12 17:41:59.025 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [cn.jeelearn.house.HouseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-12 17:41:59.026 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [cn.jeelearn.house.HouseApplicationTests]: HouseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-12 17:41:59.032 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Found @SpringBootConfiguration cn.jeelearn.house.HouseApplication for test class cn.jeelearn.house.HouseApplicationTests
2018-12-12 17:41:59.039 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-12 17:41:59.044 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:187] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c767a52, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@619713e5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@708f5957, org.springframework.test.context.support.DirtiesContextTestExecutionListener@68999068, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7722c3c3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ef3eef9, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@243c4f91, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@291ae, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61df66b6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@50eac852, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@16ec5519, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2f7298b]
2018-12-12 17:42:00.784 [main] INFO  [cn.jeelearn.house.HouseApplicationTests:48] - Starting HouseApplicationTests on lyd-PC with PID 19688 (started by lyd in G:\item_idea\springboot-house\housev1.0\house\house-web)
2018-12-12 17:42:00.784 [main] INFO  [cn.jeelearn.house.HouseApplicationTests:662] - No active profile set, falling back to default profiles: default
2018-12-12 17:42:00.907 [main] INFO  [o.s.w.context.support.GenericWebApplicationContext:583] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 17:42:00 CST 2018]; root of context hierarchy
2018-12-12 17:42:01.687 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.2.5.Final
2018-12-12 17:42:04.661 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:930] - {dataSource-1} inited
2018-12-12 17:42:11.482 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerAdapter:534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 17:42:00 CST 2018]; root of context hierarchy
2018-12-12 17:42:11.808 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/testError]}" onto public java.lang.String cn.jeelearn.house.web.controller.HelloController.testError(org.springframework.ui.ModelMap)
2018-12-12 17:42:11.810 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/hello]}" onto public java.lang.String cn.jeelearn.house.web.controller.HelloController.hello(org.springframework.ui.ModelMap)
2018-12-12 17:42:11.813 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/accounts/register]}" onto public java.lang.String cn.jeelearn.house.web.controller.UserController.register(cn.jeelearn.house.common.model.User,org.springframework.ui.ModelMap)
2018-12-12 17:42:11.814 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/accounts/user]}" onto public java.util.List<cn.jeelearn.house.common.model.User> cn.jeelearn.house.web.controller.UserController.queryUsers()
2018-12-12 17:42:11.817 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-12-12 17:42:11.818 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-12 17:42:11.871 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 17:42:11.872 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 17:42:11.913 [main] INFO  [o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:273] - Detected @ExceptionHandler methods in errorHandler
2018-12-12 17:42:12.017 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 17:42:12.588 [main] INFO  [o.s.w.servlet.view.freemarker.FreeMarkerConfigurer:127] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-12-12 17:42:12.978 [main] INFO  [cn.jeelearn.house.HouseApplicationTests:57] - Started HouseApplicationTests in 13.753 seconds (JVM running for 23.909)
2018-12-12 17:42:15.803 [main] INFO  [org.apache.http.impl.execchain.RetryExec:97] - I/O exception (java.net.SocketException) caught when processing request to {}->http://www.baidu.com:80: Connection reset
2018-12-12 17:42:15.804 [main] INFO  [org.apache.http.impl.execchain.RetryExec:113] - Retrying request to {}->http://www.baidu.com:80
2018-12-12 17:42:15.812 [main] INFO  [org.apache.http.impl.execchain.RetryExec:97] - I/O exception (java.net.SocketException) caught when processing request to {}->http://www.baidu.com:80: Connection reset
2018-12-12 17:42:15.812 [main] INFO  [org.apache.http.impl.execchain.RetryExec:113] - Retrying request to {}->http://www.baidu.com:80
2018-12-12 17:42:15.822 [main] INFO  [org.apache.http.impl.execchain.RetryExec:97] - I/O exception (java.net.SocketException) caught when processing request to {}->http://www.baidu.com:80: Connection reset
2018-12-12 17:42:15.822 [main] INFO  [org.apache.http.impl.execchain.RetryExec:113] - Retrying request to {}->http://www.baidu.com:80
2018-12-12 17:42:15.842 [Thread-1] INFO  [o.s.w.context.support.GenericWebApplicationContext:984] - Closing org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 17:42:00 CST 2018]; root of context hierarchy
2018-12-12 17:42:15.866 [Thread-1] INFO  [com.alibaba.druid.pool.DruidDataSource:1825] - {dataSource-1} closed
